Time,Country,Interest Rate,Output,Country Type,Output Trend,Output Growth,Change In Interest Rate,Output Growth Rate,Log Output,Output Cycle
1993-01-01,Australia,5.69,118317.0,Developed,117791.875,4.035980901632863,-1.7999999999999998,0.01158495921752364,11.681122742093665,-0.640194210131817
1993-04-01,Australia,5.21,119030.0,Developed,118760.625,4.382980216079702,-1.5099999999999998,0.006026183895805336,11.687130841161926,-0.7982556191398871
1993-07-01,Australia,4.9,118672.0,Developed,119919.875,3.152679386327084,-0.8699999999999992,-0.003007645131479459,11.684118663976339,-1.890719756091741
1993-10-01,Australia,4.8,121085.0,Developed,121233.125,3.52507652057934,-1.08,0.020333355804233517,11.704248057294603,-0.700454595250477
1994-01-01,Australia,4.83,123468.0,Developed,122805.625,4.353558660209433,-0.8600000000000003,0.019680389808811993,11.723737292163811,0.3964960179063226
1994-04-01,Australia,4.96,124385.0,Developed,124387.875,4.498865832143162,-0.25,0.007427025626073153,11.731136873238876,0.25774938280473947
1994-07-01,Australia,5.65,125897.0,Developed,125486.0,6.0882095186733265,0.75,0.012155806568316115,11.743219391313271,0.5628836027167239
1994-10-01,Australia,7.19,126518.0,Developed,126445.625,4.4869306685386245,2.3900000000000006,0.004932603636305869,11.748139869517214,0.12955892122370471
1995-01-01,Australia,8.19,126820.0,Developed,127584.75,2.7148734894871573,3.3599999999999994,0.0023870121247569517,11.750524037254023,-0.5778455930339987
1995-04-01,Australia,7.71,128710.0,Developed,128763.125,3.4771073682517972,2.75,0.01490301214319508,11.765317090643423,-0.06308517410147374
1995-07-01,Australia,7.54,130685.0,Developed,130187.5,3.803108890601048,1.8899999999999997,0.015344573071245435,11.780545126384956,0.4785361554539236
1995-10-01,Australia,7.45,131157.0,Developed,131685.375,3.666671936009114,0.2599999999999998,0.0036117381489841984,11.784150357869915,-0.15663452952594525
1996-01-01,Australia,7.49,133576.0,Developed,132967.75,5.327235451821477,-0.6999999999999993,0.018443544759334234,11.802425883228793,0.662539234622983
1996-04-01,Australia,7.56,133937.0,Developed,134255.5,4.061067516121519,-0.15000000000000036,0.0027025813020303048,11.805124819124504,-0.0867063386117195
1996-07-01,Australia,7.13,135717.0,Developed,135356.125,3.8504801622221363,-0.41000000000000014,0.013289830293346872,11.818327114321413,0.20513408738018768
1996-10-01,Australia,6.43,136427.0,Developed,136500.875,4.01808519560527,-1.0200000000000005,0.005231474317882063,11.82354495201661,-0.30915651605756267
1997-01-01,Australia,5.93,137111.0,Developed,137826.625,2.646433491046296,-1.5600000000000005,0.005013670314527183,11.828546095738151,-0.8513653532881804
1997-04-01,Australia,5.75,139560.0,Developed,139191.625,4.198242457274692,-1.8099999999999996,0.017861440730503022,11.84624989530071,-0.12792777719017323
1997-07-01,Australia,4.95,140700.0,Developed,140859.875,3.671610778310752,-2.1799999999999997,0.00816852966466036,11.854385243102481,-0.36379277894464934
1997-10-01,Australia,4.95,142364.0,Developed,142548.5,4.35177787388128,-1.4799999999999995,0.011826581378820184,11.86614243700967,-0.23768884806987245
1998-01-01,Australia,4.97,144520.0,Developed,144231.5,5.403651056443315,-0.96,0.015144278047821078,11.881173185261577,0.2180239337118195
1998-04-01,Australia,5.07,145660.0,Developed,146180.75,4.370879908283176,-0.6799999999999997,0.007888181566565181,11.889030417771906,-0.03874379235107028
1998-07-01,Australia,5.13,148064.0,Developed,148120.625,5.233830845771137,0.17999999999999972,0.01650418783468351,11.905399891706725,0.5630650752674882
1998-10-01,Australia,4.84,150594.0,Developed,149946.625,5.780955859627435,-0.11000000000000032,0.017087205532742598,11.92234275291682,1.2320707214348303
1999-01-01,Australia,4.79,151809.0,Developed,151731.75,5.0435925823415495,-0.17999999999999972,0.008068050519941033,11.93037843072372,1.0223697624208938
1999-04-01,Australia,4.85,152979.0,Developed,153404.5,5.024715089935472,-0.22000000000000064,0.007707052941525206,11.938055936052296,0.7902469306287685
1999-07-01,Australia,4.94,155026.0,Developed,154950.5,4.702020747784741,-0.1899999999999995,0.013380921564397727,11.951348123769762,1.1337323715942205
1999-10-01,Australia,5.47,157014.0,Developed,156498.5,4.263118052512049,0.6299999999999999,0.012823655386838337,11.964090252329383,1.4366026851254432
2000-01-01,Australia,5.78,157757.0,Developed,157915.875,3.918081273178786,0.9900000000000002,0.00473206210911129,11.96881115342847,0.9512832127034798
2000-04-01,Australia,6.19,159415.0,Developed,158815.0,4.2071133946489425,1.3400000000000007,0.01050983474584329,11.979266143796675,1.051949922363704
2000-07-01,Australia,6.42,159929.0,Developed,159410.5,3.1626952898223593,1.4799999999999995,0.0032242888059467426,11.982485245729796,0.4396547867498768
2000-10-01,Australia,6.31,159304.0,Developed,160033.375,1.458468671583435,0.8399999999999999,-0.0039079841679745386,11.97856960543851,-0.8780952987088142
2001-01-01,Australia,5.55,160231.0,Developed,160823.375,1.5682346900612876,-0.23000000000000043,0.005819062923718174,11.984371803010973,-1.2189248350766846
2001-04-01,Australia,4.91,161924.0,Developed,162114.5,1.5738794969105685,-1.2800000000000002,0.01056599534422178,11.994882368333423,-1.0861145340481215
2001-07-01,Australia,4.85,163740.0,Developed,,2.3829324262641505,-1.5700000000000003,0.011215137965959339,12.006035082930438,-0.8878581154615262
2001-10-01,Australia,4.3,165822.0,Developed,,4.091548234821474,-2.01,0.012715280322462441,12.018670202868732,-0.5410230233573898
2002-01-01,Australia,4.34,,Developed,,,-1.21,,,
2002-04-01,Australia,,,Developed,,,,,,
1980-01-01,Brazil,,,Emerging,,,,,,
1980-04-01,Brazil,,,Emerging,,,,,,
1980-07-01,Brazil,,,Emerging,,,,,,
1980-10-01,Brazil,,,Emerging,,,,,,
1981-01-01,Brazil,,,Emerging,,,,,,
1981-04-01,Brazil,,,Emerging,,,,,,
1981-07-01,Brazil,,,Emerging,,,,,,
1981-10-01,Brazil,,,Emerging,,,,,,
1982-01-01,Brazil,,,Emerging,,,,,,
1982-04-01,Brazil,,,Emerging,,,,,,
1982-07-01,Brazil,,,Emerging,,,,,,
1982-10-01,Brazil,,,Emerging,,,,,,
1983-01-01,Brazil,,,Emerging,,,,,,
1983-04-01,Brazil,,,Emerging,,,,,,
1983-07-01,Brazil,,,Emerging,,,,,,
1983-10-01,Brazil,,,Emerging,,,,,,
1984-01-01,Brazil,,,Emerging,,,,,,
1984-04-01,Brazil,,,Emerging,,,,,,
1984-07-01,Brazil,,,Emerging,,,,,,
1984-10-01,Brazil,,,Emerging,,,,,,
1985-01-01,Brazil,,,Emerging,,,,,,
1985-04-01,Brazil,,,Emerging,,,,,,
1985-07-01,Brazil,,,Emerging,,,,,,
1985-10-01,Brazil,,,Emerging,,,,,,
1986-01-01,Brazil,,,Emerging,,,,,,
1986-04-01,Brazil,,,Emerging,,,,,,
1986-07-01,Brazil,,,Emerging,,,,,,
